id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
246751887003615232,246751887003615232,1347665208000,2012-09-14,19:26:48,EDT,470577454,margorilla17,i dont have a spleen,,Let's bring back #gome @caitkeen... #fortheboys has gone too mainstream,[],[],[],0,1,0,"['#gome', '#fortheboys']",[],https://twitter.com/Margorilla17/status/246751887003615232,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
240575065312342016,240574654786437122,1346192539000,2012-08-28,18:22:19,EDT,470577454,margorilla17,i dont have a spleen,,@Wwoodstockswagg best part about transatlantic flights!!!!! Tell me everything immediately when you arrive #cheeriopoppet,['wwoodstockswagg'],[],[],0,0,0,['#cheeriopoppet'],[],https://twitter.com/Margorilla17/status/240575065312342016,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '528629422', 'username': 'Wwoodstockswagg'}]",,,,
240300295672975360,240195659867750401,1346127029000,2012-08-28,00:10:29,EDT,470577454,margorilla17,i dont have a spleen,,@idiosynchrisies is this a metaphor? #chrisplanteiphonepioneer,[],[],[],1,0,0,['#chrisplanteiphonepioneer'],[],https://twitter.com/Margorilla17/status/240300295672975360,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}]",,,,
238388572447715328,238366609994027008,1345671239000,2012-08-22,17:33:59,EDT,470577454,margorilla17,i dont have a spleen,,@cbiddy12 let's move to Spain! Or require siestas in our contracts,['cbiddy12'],[],[],0,0,1,[],[],https://twitter.com/Margorilla17/status/238388572447715328,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '202909905', 'username': 'cbiddy12'}]",,,,
237013204469952512,237013204469952512,1345343326000,2012-08-18,22:28:46,EDT,470577454,margorilla17,i dont have a spleen,,“@PostGradProblem: The anxiety portion of your hangover. #PGP” I call it #depressionroulette @JanieLA2,"['postgradproblem', 'janiela2']",[],[],0,0,1,"['#pgp', '#depressionroulette']",[],https://twitter.com/Margorilla17/status/237013204469952512,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '271572434', 'username': 'PostGradProblem'}, {'user_id': '352595033', 'username': 'JanieLA2'}]",,,,
235553732362895360,235356337331138560,1344995360000,2012-08-14,21:49:20,EDT,470577454,margorilla17,i dont have a spleen,,"@knoopsicle @cal1mar1 even though #wearenevergettingbacktogether because I'm an alum, ours is still a #lovestory right? BCC ME! #denial",['knoopsicle'],[],[],0,0,2,"['#wearenevergettingbacktogether', '#lovestory', '#denial']",[],https://twitter.com/Margorilla17/status/235553732362895360,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '528924778', 'username': 'knoopsicle'}]",,,,
223814638998007809,223814638998007809,1342196542000,2012-07-13,12:22:22,EDT,470577454,margorilla17,i dont have a spleen,,"""he was cute though, I think"" #clarity #cloudnine #automaticslims #teacups #littlethings @anabowens @JenBucks","['anabowens', 'jenbucks']",[],[],0,0,1,"['#clarity', '#cloudnine', '#automaticslims', '#teacups', '#littlethings']",[],https://twitter.com/Margorilla17/status/223814638998007809,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87866125', 'username': 'anabowens'}, {'user_id': '317939415', 'username': 'JenBucks'}]",,,,
220624078007054336,220620865098887169,1341435853000,2012-07-04,17:04:13,EDT,470577454,margorilla17,i dont have a spleen,,@kobbsalad Denver better look out...give my love to chestah #manifestdestiny #oregontrail,['kobbsalad'],[],[],0,0,0,"['#manifestdestiny', '#oregontrail']",[],https://twitter.com/Margorilla17/status/220624078007054336,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87865919', 'username': 'kobbsalad'}]",,,,
219501263505731587,219501263505731587,1341168154000,2012-07-01,14:42:34,EDT,470577454,margorilla17,i dont have a spleen,,"A POR ELLOS, OÉ!!!!! España España España!!!!!! #eurocopa @_Rose_Gold_ @HugeSpeciman @JanieLA2","['_rose_gold_', 'janiela2']",[],[],0,0,1,['#eurocopa'],[],https://twitter.com/Margorilla17/status/219501263505731587,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '177003664', 'username': '_Rose_Gold_'}, {'user_id': '352595033', 'username': 'JanieLA2'}]",,,,
216267066775306241,216267066775306241,1340397061000,2012-06-22,16:31:01,EDT,470577454,margorilla17,i dont have a spleen,,Forgoing Yankees loyalty today in honor of the hostess with the mostest @GVBarry... #GOPHILLIES @anabowens @loudieee @idiosynchrisies,"['gvbarry', 'anabowens', 'loudieee']",[],[],0,0,0,['#gophillies'],[],https://twitter.com/Margorilla17/status/216267066775306241,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87989003', 'username': 'GVBarry'}, {'user_id': '87866125', 'username': 'anabowens'}, {'user_id': '87866140', 'username': 'loudieee'}]",,,,
